Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.3576 | games   640 | time 2s/300s
step   20 | loss 0.3168 | games  1280 | time 3s/300s
step   30 | loss 0.3158 | games  1920 | time 4s/300s
step   40 | loss 0.2540 | games  2560 | time 5s/300s
step   50 | loss 0.2835 | games  3200 | time 6s/300s
step   60 | loss 0.3619 | games  3840 | time 7s/300s
step   70 | loss 0.3076 | games  4480 | time 8s/300s
step   80 | loss 0.3363 | games  5120 | time 9s/300s
step   90 | loss 0.3067 | games  5760 | time 10s/300s
step  100 | loss 0.2925 | games  6400 | time 11s/300s
step  110 | loss 0.2806 | games  7040 | time 12s/300s
step  120 | loss 0.3083 | games  7680 | time 13s/300s
step  130 | loss 0.3223 | games  8320 | time 14s/300s
step  140 | loss 0.2796 | games  8960 | time 15s/300s
step  150 | loss 0.2552 | games  9600 | time 16s/300s
step  160 | loss 0.2820 | games 10240 | time 17s/300s
step  170 | loss 0.2696 | games 10880 | time 18s/300s
step  180 | loss 0.2722 | games 11520 | time 19s/300s
step  190 | loss 0.2759 | games 12160 | time 20s/300s
step  200 | loss 0.2684 | games 12800 | time 21s/300s
step  210 | loss 0.2926 | games 13440 | time 22s/300s
step  220 | loss 0.2749 | games 14080 | time 23s/300s
step  230 | loss 0.2561 | games 14720 | time 24s/300s
step  240 | loss 0.2736 | games 15360 | time 25s/300s
step  250 | loss 0.3064 | games 16000 | time 26s/300s
step  260 | loss 0.2920 | games 16640 | time 26s/300s
step  270 | loss 0.3013 | games 17280 | time 27s/300s
step  280 | loss 0.2676 | games 17920 | time 28s/300s
step  290 | loss 0.2885 | games 18560 | time 29s/300s
step  300 | loss 0.3143 | games 19200 | time 30s/300s
step  310 | loss 0.2918 | games 19840 | time 31s/300s
step  320 | loss 0.2696 | games 20480 | time 32s/300s
step  330 | loss 0.2397 | games 21120 | time 33s/300s
step  340 | loss 0.2294 | games 21760 | time 34s/300s
step  350 | loss 0.2508 | games 22400 | time 35s/300s
step  360 | loss 0.2593 | games 23040 | time 36s/300s
step  370 | loss 0.2925 | games 23680 | time 37s/300s
step  380 | loss 0.3065 | games 24320 | time 38s/300s
step  390 | loss 0.2689 | games 24960 | time 39s/300s
step  400 | loss 0.2536 | games 25600 | time 39s/300s
