Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.4722 | games   640 | time 1s/300s
step   20 | loss 0.4535 | games  1280 | time 2s/300s
step   30 | loss 0.3643 | games  1920 | time 2s/300s
step   40 | loss 0.3369 | games  2560 | time 3s/300s
step   50 | loss 0.3181 | games  3200 | time 3s/300s
step   60 | loss 0.3232 | games  3840 | time 4s/300s
step   70 | loss 0.3486 | games  4480 | time 5s/300s
step   80 | loss 0.3407 | games  5120 | time 5s/300s
step   90 | loss 0.3340 | games  5760 | time 6s/300s
step  100 | loss 0.3164 | games  6400 | time 6s/300s
step  110 | loss 0.3182 | games  7040 | time 7s/300s
step  120 | loss 0.3363 | games  7680 | time 7s/300s
step  130 | loss 0.3175 | games  8320 | time 8s/300s
step  140 | loss 0.3037 | games  8960 | time 9s/300s
step  150 | loss 0.2971 | games  9600 | time 9s/300s
step  160 | loss 0.2983 | games 10240 | time 10s/300s
step  170 | loss 0.3408 | games 10880 | time 10s/300s
step  180 | loss 0.3238 | games 11520 | time 11s/300s
step  190 | loss 0.3420 | games 12160 | time 11s/300s
step  200 | loss 0.3154 | games 12800 | time 12s/300s
step  210 | loss 0.2967 | games 13440 | time 13s/300s
step  220 | loss 0.2944 | games 14080 | time 13s/300s
step  230 | loss 0.3093 | games 14720 | time 14s/300s
step  240 | loss 0.2949 | games 15360 | time 14s/300s
step  250 | loss 0.3042 | games 16000 | time 15s/300s
step  260 | loss 0.3458 | games 16640 | time 15s/300s
step  270 | loss 0.3241 | games 17280 | time 16s/300s
step  280 | loss 0.3219 | games 17920 | time 16s/300s
step  290 | loss 0.3319 | games 18560 | time 17s/300s
step  300 | loss 0.3068 | games 19200 | time 17s/300s
step  310 | loss 0.3458 | games 19840 | time 18s/300s
step  320 | loss 0.3397 | games 20480 | time 19s/300s
step  330 | loss 0.3047 | games 21120 | time 19s/300s
step  340 | loss 0.3228 | games 21760 | time 20s/300s
step  350 | loss 0.3216 | games 22400 | time 20s/300s
step  360 | loss 0.3388 | games 23040 | time 21s/300s
step  370 | loss 0.3491 | games 23680 | time 21s/300s
step  380 | loss 0.3067 | games 24320 | time 22s/300s
step  390 | loss 0.2799 | games 24960 | time 23s/300s
step  400 | loss 0.2995 | games 25600 | time 23s/300s
step  410 | loss 0.2831 | games 26240 | time 24s/300s
step  420 | loss 0.3263 | games 26880 | time 24s/300s
step  430 | loss 0.3087 | games 27520 | time 25s/300s
step  440 | loss 0.3653 | games 28160 | time 25s/300s
step  450 | loss 0.3029 | games 28800 | time 26s/300s
step  460 | loss 0.2808 | games 29440 | time 27s/300s
step  470 | loss 0.2849 | games 30080 | time 27s/300s
step  480 | loss 0.3120 | games 30720 | time 28s/300s
step  490 | loss 0.3477 | games 31360 | time 28s/300s
step  500 | loss 0.3246 | games 32000 | time 29s/300s
step  510 | loss 0.3235 | games 32640 | time 30s/300s
step  520 | loss 0.2921 | games 33280 | time 30s/300s
step  530 | loss 0.3099 | games 33920 | time 31s/300s
step  540 | loss 0.3086 | games 34560 | time 31s/300s
step  550 | loss 0.3071 | games 35200 | time 32s/300s
step  560 | loss 0.2740 | games 35840 | time 32s/300s
step  570 | loss 0.2680 | games 36480 | time 33s/300s
step  580 | loss 0.2820 | games 37120 | time 33s/300s
step  590 | loss 0.2810 | games 37760 | time 34s/300s
step  600 | loss 0.2600 | games 38400 | time 34s/300s
step  610 | loss 0.2738 | games 39040 | time 35s/300s
step  620 | loss 0.3613 | games 39680 | time 35s/300s
step  630 | loss 0.3300 | games 40320 | time 36s/300s
step  640 | loss 0.3057 | games 40960 | time 37s/300s
step  650 | loss 0.3198 | games 41600 | time 37s/300s
step  660 | loss 0.3162 | games 42240 | time 38s/300s
step  670 | loss 0.2749 | games 42880 | time 38s/300s
step  680 | loss 0.3068 | games 43520 | time 39s/300s
step  690 | loss 0.3245 | games 44160 | time 39s/300s
step  700 | loss 0.3501 | games 44800 | time 40s/300s
step  710 | loss 0.3715 | games 45440 | time 41s/300s
step  720 | loss 0.3758 | games 46080 | time 41s/300s
step  730 | loss 0.3726 | games 46720 | time 42s/300s
step  740 | loss 0.3641 | games 47360 | time 42s/300s
step  750 | loss 0.3318 | games 48000 | time 43s/300s
step  760 | loss 0.3227 | games 48640 | time 43s/300s
step  770 | loss 0.3352 | games 49280 | time 44s/300s
step  780 | loss 0.3206 | games 49920 | time 44s/300s
step  790 | loss 0.3101 | games 50560 | time 45s/300s
step  800 | loss 0.2860 | games 51200 | time 45s/300s
step  810 | loss 0.2942 | games 51840 | time 46s/300s
step  820 | loss 0.3423 | games 52480 | time 47s/300s
step  830 | loss 0.3116 | games 53120 | time 47s/300s
step  840 | loss 0.3080 | games 53760 | time 48s/300s
step  850 | loss 0.3109 | games 54400 | time 48s/300s
step  860 | loss 0.3038 | games 55040 | time 49s/300s
step  870 | loss 0.2996 | games 55680 | time 49s/300s
step  880 | loss 0.2805 | games 56320 | time 50s/300s
step  890 | loss 0.3081 | games 56960 | time 50s/300s
step  900 | loss 0.3257 | games 57600 | time 51s/300s
step  910 | loss 0.3152 | games 58240 | time 51s/300s
step  920 | loss 0.2823 | games 58880 | time 52s/300s
step  930 | loss 0.2625 | games 59520 | time 52s/300s
step  940 | loss 0.2787 | games 60160 | time 53s/300s
step  950 | loss 0.3108 | games 60800 | time 53s/300s
step  960 | loss 0.3084 | games 61440 | time 54s/300s
step  970 | loss 0.3290 | games 62080 | time 55s/300s
step  980 | loss 0.2979 | games 62720 | time 55s/300s
step  990 | loss 0.3124 | games 63360 | time 56s/300s
step 1000 | loss 0.2984 | games 64000 | time 56s/300s
step 1010 | loss 0.2862 | games 64640 | time 57s/300s
step 1020 | loss 0.3484 | games 65280 | time 57s/300s
step 1030 | loss 0.3263 | games 65920 | time 58s/300s
step 1040 | loss 0.3200 | games 66560 | time 59s/300s
step 1050 | loss 0.2904 | games 67200 | time 59s/300s
step 1060 | loss 0.3150 | games 67840 | time 60s/300s
step 1070 | loss 0.2958 | games 68480 | time 60s/300s
step 1080 | loss 0.2730 | games 69120 | time 61s/300s
step 1090 | loss 0.2899 | games 69760 | time 61s/300s
step 1100 | loss 0.2882 | games 70400 | time 62s/300s
step 1110 | loss 0.3033 | games 71040 | time 62s/300s
step 1120 | loss 0.3382 | games 71680 | time 63s/300s
step 1130 | loss 0.3086 | games 72320 | time 64s/300s
step 1140 | loss 0.2985 | games 72960 | time 64s/300s
step 1150 | loss 0.2975 | games 73600 | time 65s/300s
step 1160 | loss 0.2760 | games 74240 | time 65s/300s
step 1170 | loss 0.3182 | games 74880 | time 66s/300s
step 1180 | loss 0.3099 | games 75520 | time 66s/300s
step 1190 | loss 0.2665 | games 76160 | time 67s/300s
step 1200 | loss 0.2601 | games 76800 | time 67s/300s
step 1210 | loss 0.3019 | games 77440 | time 68s/300s
step 1220 | loss 0.2932 | games 78080 | time 69s/300s
step 1230 | loss 0.3037 | games 78720 | time 69s/300s
step 1240 | loss 0.2895 | games 79360 | time 70s/300s
step 1250 | loss 0.2775 | games 80000 | time 70s/300s
step 1260 | loss 0.3068 | games 80640 | time 71s/300s
step 1270 | loss 0.3054 | games 81280 | time 71s/300s
step 1280 | loss 0.3028 | games 81920 | time 72s/300s
step 1290 | loss 0.3060 | games 82560 | time 72s/300s
step 1300 | loss 0.2816 | games 83200 | time 73s/300s
step 1310 | loss 0.2484 | games 83840 | time 73s/300s
step 1320 | loss 0.2802 | games 84480 | time 74s/300s
step 1330 | loss 0.2832 | games 85120 | time 74s/300s
step 1340 | loss 0.3008 | games 85760 | time 75s/300s
step 1350 | loss 0.2968 | games 86400 | time 75s/300s
step 1360 | loss 0.2861 | games 87040 | time 76s/300s
step 1370 | loss 0.2755 | games 87680 | time 77s/300s
step 1380 | loss 0.2526 | games 88320 | time 77s/300s
step 1390 | loss 0.2854 | games 88960 | time 78s/300s
step 1400 | loss 0.2490 | games 89600 | time 78s/300s
step 1410 | loss 0.2457 | games 90240 | time 79s/300s
step 1420 | loss 0.3115 | games 90880 | time 80s/300s
step 1430 | loss 0.3400 | games 91520 | time 80s/300s
step 1440 | loss 0.3372 | games 92160 | time 81s/300s
step 1450 | loss 0.3249 | games 92800 | time 81s/300s
step 1460 | loss 0.3134 | games 93440 | time 82s/300s
step 1470 | loss 0.2940 | games 94080 | time 82s/300s
step 1480 | loss 0.2856 | games 94720 | time 83s/300s
step 1490 | loss 0.3004 | games 95360 | time 84s/300s
step 1500 | loss 0.2743 | games 96000 | time 84s/300s
step 1510 | loss 0.2635 | games 96640 | time 85s/300s
step 1520 | loss 0.3123 | games 97280 | time 85s/300s
step 1530 | loss 0.3382 | games 97920 | time 86s/300s
step 1540 | loss 0.3330 | games 98560 | time 86s/300s
step 1550 | loss 0.3275 | games 99200 | time 87s/300s
step 1560 | loss 0.3410 | games 99840 | time 88s/300s
step 1570 | loss 0.2980 | games 100480 | time 88s/300s
step 1580 | loss 0.3030 | games 101120 | time 89s/300s
step 1590 | loss 0.2823 | games 101760 | time 89s/300s
step 1600 | loss 0.2701 | games 102400 | time 90s/300s
step 1610 | loss 0.2664 | games 103040 | time 90s/300s
step 1620 | loss 0.2732 | games 103680 | time 91s/300s
step 1630 | loss 0.2754 | games 104320 | time 91s/300s
step 1640 | loss 0.2894 | games 104960 | time 92s/300s
step 1650 | loss 0.2439 | games 105600 | time 92s/300s
step 1660 | loss 0.2522 | games 106240 | time 93s/300s
step 1670 | loss 0.2981 | games 106880 | time 94s/300s
step 1680 | loss 0.2780 | games 107520 | time 94s/300s
step 1690 | loss 0.3066 | games 108160 | time 95s/300s
