Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.3015 | games   640 | time 3s/300s
step   20 | loss 0.3162 | games  1280 | time 5s/300s
step   30 | loss 0.2859 | games  1920 | time 7s/300s
step   40 | loss 0.2872 | games  2560 | time 9s/300s
step   50 | loss 0.2959 | games  3200 | time 11s/300s
step   60 | loss 0.2707 | games  3840 | time 13s/300s
step   70 | loss 0.2796 | games  4480 | time 15s/300s
step   80 | loss 0.3136 | games  5120 | time 17s/300s
step   90 | loss 0.2871 | games  5760 | time 18s/300s
step  100 | loss 0.2404 | games  6400 | time 20s/300s
step  110 | loss 0.2940 | games  7040 | time 22s/300s
step  120 | loss 0.3092 | games  7680 | time 23s/300s
step  130 | loss 0.2715 | games  8320 | time 25s/300s
step  140 | loss 0.2058 | games  8960 | time 27s/300s
step  150 | loss 0.2242 | games  9600 | time 28s/300s
step  160 | loss 0.2570 | games 10240 | time 30s/300s
step  170 | loss 0.2364 | games 10880 | time 31s/300s
step  180 | loss 0.2663 | games 11520 | time 33s/300s
step  190 | loss 0.2642 | games 12160 | time 34s/300s
step  200 | loss 0.2401 | games 12800 | time 36s/300s
step  210 | loss 0.2568 | games 13440 | time 37s/300s
step  220 | loss 0.2082 | games 14080 | time 39s/300s
step  230 | loss 0.2573 | games 14720 | time 40s/300s
step  240 | loss 0.2333 | games 15360 | time 41s/300s
step  250 | loss 0.2251 | games 16000 | time 43s/300s
step  260 | loss 0.2149 | games 16640 | time 44s/300s
step  270 | loss 0.2397 | games 17280 | time 46s/300s
step  280 | loss 0.2546 | games 17920 | time 47s/300s
step  290 | loss 0.2534 | games 18560 | time 49s/300s
step  300 | loss 0.2434 | games 19200 | time 50s/300s
step  310 | loss 0.2701 | games 19840 | time 51s/300s
step  320 | loss 0.2202 | games 20480 | time 53s/300s
step  330 | loss 0.2394 | games 21120 | time 54s/300s
step  340 | loss 0.2078 | games 21760 | time 55s/300s
step  350 | loss 0.2125 | games 22400 | time 57s/300s
step  360 | loss 0.2879 | games 23040 | time 58s/300s
step  370 | loss 0.2246 | games 23680 | time 60s/300s
step  380 | loss 0.2347 | games 24320 | time 61s/300s
step  390 | loss 0.2535 | games 24960 | time 62s/300s
step  400 | loss 0.2391 | games 25600 | time 64s/300s
step  410 | loss 0.2262 | games 26240 | time 65s/300s
step  420 | loss 0.2319 | games 26880 | time 66s/300s
step  430 | loss 0.2261 | games 27520 | time 68s/300s
step  440 | loss 0.2308 | games 28160 | time 69s/300s
step  450 | loss 0.2214 | games 28800 | time 70s/300s
step  460 | loss 0.2446 | games 29440 | time 72s/300s
step  470 | loss 0.2345 | games 30080 | time 73s/300s
step  480 | loss 0.2277 | games 30720 | time 75s/300s
step  490 | loss 0.2554 | games 31360 | time 76s/300s
step  500 | loss 0.2336 | games 32000 | time 77s/300s
step  510 | loss 0.2409 | games 32640 | time 79s/300s
step  520 | loss 0.2022 | games 33280 | time 80s/300s
step  530 | loss 0.1930 | games 33920 | time 81s/300s
step  540 | loss 0.1650 | games 34560 | time 83s/300s
step  550 | loss 0.2112 | games 35200 | time 84s/300s
step  560 | loss 0.2014 | games 35840 | time 85s/300s
step  570 | loss 0.1623 | games 36480 | time 87s/300s
step  580 | loss 0.2062 | games 37120 | time 88s/300s
step  590 | loss 0.2163 | games 37760 | time 89s/300s
step  600 | loss 0.2493 | games 38400 | time 91s/300s
step  610 | loss 0.2449 | games 39040 | time 92s/300s
step  620 | loss 0.2238 | games 39680 | time 93s/300s
step  630 | loss 0.2076 | games 40320 | time 95s/300s
step  640 | loss 0.2369 | games 40960 | time 96s/300s
step  650 | loss 0.2394 | games 41600 | time 98s/300s
step  660 | loss 0.2503 | games 42240 | time 99s/300s
step  670 | loss 0.2317 | games 42880 | time 100s/300s
step  680 | loss 0.2332 | games 43520 | time 102s/300s
step  690 | loss 0.2214 | games 44160 | time 103s/300s
step  700 | loss 0.2375 | games 44800 | time 104s/300s
step  710 | loss 0.2486 | games 45440 | time 106s/300s
step  720 | loss 0.2597 | games 46080 | time 107s/300s
step  730 | loss 0.2045 | games 46720 | time 108s/300s
step  740 | loss 0.2080 | games 47360 | time 110s/300s
step  750 | loss 0.2249 | games 48000 | time 111s/300s
step  760 | loss 0.2178 | games 48640 | time 112s/300s
step  770 | loss 0.2160 | games 49280 | time 114s/300s
step  780 | loss 0.2224 | games 49920 | time 115s/300s
step  790 | loss 0.2062 | games 50560 | time 116s/300s
