Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15 -> 0.02
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.5230 | games   640 | time 1s/300s
step   20 | loss 0.4556 | games  1280 | time 2s/300s
step   30 | loss 0.3922 | games  1920 | time 3s/300s
step   40 | loss 0.3574 | games  2560 | time 3s/300s
step   50 | loss 0.3683 | games  3200 | time 4s/300s
step   60 | loss 0.3739 | games  3840 | time 4s/300s
step   70 | loss 0.3425 | games  4480 | time 5s/300s
step   80 | loss 0.3386 | games  5120 | time 5s/300s
step   90 | loss 0.3042 | games  5760 | time 6s/300s
step  100 | loss 0.3380 | games  6400 | time 7s/300s
step  110 | loss 0.3597 | games  7040 | time 7s/300s
step  120 | loss 0.3625 | games  7680 | time 8s/300s
step  130 | loss 0.3329 | games  8320 | time 8s/300s
step  140 | loss 0.3286 | games  8960 | time 9s/300s
step  150 | loss 0.3292 | games  9600 | time 10s/300s
step  160 | loss 0.3262 | games 10240 | time 10s/300s
step  170 | loss 0.3061 | games 10880 | time 11s/300s
step  180 | loss 0.2492 | games 11520 | time 11s/300s
step  190 | loss 0.3073 | games 12160 | time 12s/300s
step  200 | loss 0.2571 | games 12800 | time 12s/300s
step  210 | loss 0.2697 | games 13440 | time 13s/300s
step  220 | loss 0.3160 | games 14080 | time 13s/300s
step  230 | loss 0.3240 | games 14720 | time 14s/300s
step  240 | loss 0.3566 | games 15360 | time 15s/300s
step  250 | loss 0.3195 | games 16000 | time 15s/300s
step  260 | loss 0.2608 | games 16640 | time 16s/300s
step  270 | loss 0.2652 | games 17280 | time 16s/300s
step  280 | loss 0.2936 | games 17920 | time 17s/300s
step  290 | loss 0.3146 | games 18560 | time 17s/300s
step  300 | loss 0.3301 | games 19200 | time 18s/300s
step  310 | loss 0.2490 | games 19840 | time 18s/300s
step  320 | loss 0.3404 | games 20480 | time 19s/300s
step  330 | loss 0.3571 | games 21120 | time 19s/300s
